AX,AY,AZ
-11211.888,315.728,11534.276
-11726.724,276.364,11033.516
-12250.848,254.72,10426.592
-12731.14,196.616,9845.984
-13261.764,201.6,9161.186
-13607.296,272.696,8606.148
-14223.436,232.92,7561.248
-14670.444,234.656,6679.936
-15125.172,209.476,5606.692
-15445.968,168.756,4695.224
-15716.124,322.08,3742.836
-15929.756,313.592,2781.604
-16060.232,388.368,2016.288
-16139.924,363.044,1346.076
-16189.096,334.132,750.168
-16214.084,235.124,328.552
-16219.644,229.904,76.936
2058.76,-106.616,-16428.056
750.76,-448.168,-16848.574
-1246.412,-430.668,-16443.968
-1813.028,-640.88,-16425.192
-2572.268,-206.916,-16337.264
-3195.804,-19.828,-16226.76
-3667.028,-1896.696,-16006.14
-3551.288,-912.244,-16111.476
-5266.044,-1296.952,-15579.848
-5713.36,-638.692,-15485.196
-6380.448,-323.6,-15227.292
-6819.664,-274.332,-15033.252
-8317.352,-494.736,-14215.224
-9071.296,-184.5,-13761.964
-9556.206,-129.336,-13421.296
-9893.192,-204.992,-13174.58
-10089.096,-161.752,-13057.328
-10405.776,-113.516,-12739.048
-10754.248,-98.032,-12472.576
-11273.9,-82.836,-11972.388
-11612.28,-55.608,-11594.608
-11978.2,56.272,-11261.452
-12174.78,518.66,-11079.272
-12834.86,533.008,-10161.156
-13462.444,344.104,-9390.396
-13650.996,570.248,-9064.652
-14012.572,523.308,-8474.68
-14662.552,529.756,-7218.516
-14980.22,487.484,-6426.928
-15411.68,593.604,-5326.904
-15632.324,611.824,-4469.54
-15881.164,498.564,-3556.028
-15997.264,222.464,-3163.996
-16165.204,-461.776,-1504.608
-16184.428,-418.892,-167.68
-1523.676,173.652,-14344.712
2093.464,-370.584,-16414.128
1612.356,-647.98,-16457.74
1481.444,-295.548,-16489.9
1512.044,-81.8,-16494.636
2131.84,22.468,-16427.028
2774.744,1.048,-16343.24
3805.0,18.536,-16124.456
4163.612,32.668,-16078.564
5144.556,-46.328,-15754.344
5239.404,-335.34,-15722.564
4179.652,-170.644,-16031.536
3172.988,-186.528,-16262.288
4783.132,-55.932,-15859.744
5861.38,96.376,-15513.526
6433.268,198.504,-15285.648
7616.572,50.18,-14768.288
11655.14,-1674.928,-11679.744
10646.176,-1691.792,-12577.74
9774.896,-1345.84,-13324.668
9473.14,-1508.48,-13529.28
14061.58,-1099.896,-8344.838
13950.236,-785.612,-9013.492
15287.768,-551.788,-6450.944
13437.176,-1182.076,-9577.208
14473.124,-494.4,-8120.376
14996.488,-437.32,-7111.444
15799.328,-78.384,-5183.94
16170.612,37.26,-3784.072
16412.032,54.384,-2750.964
16519.784,122.22,-1654.508
16584.996,167.892,-702.372
-16102.408,-56.08,1524.964
-16085.144,1146.924,1203.564
-15873.996,3004.528,1185.604
-15507.332,4470.36,1130.896
-15164.276,5568.644,1075.592
-14936.948,6159.92,1067.324
-14388.2,7353.732,1070.264
-13538.22,8865.8,1463.724
-14047.156,7954.448,1291.904
-12588.208,10083.612,1581.744
-11443.436,11413.352,1390.056
-9962.948,12788.456,1015.124
-8857.088,13639.164,884.96
-7224.416,14567.532,827.208
-5220.668,15436.148,631.616
-3489.884,15951.372,519.288
-1846.528,16226.62,391.512
-1596.148,16291.648,420.944
-690.956,16365.8,392.184
-251.508,16355.796,343.184
179.268,16399.832,294.084
427.656,16402.116,267.08
1100.488,16379.608,165.636
1332.172,16368.148,149.156
1866.484,16321.828,63.628
2319.5,16276.52,30.14
2804.52,16201.144,-43.572
3148.104,16146.476,-99.584
3604.084,16055.908,-177.156
4198.184,15916.16,-258.108
4831.064,15747.128,-353.764
5539.628,15517.924,-454.316
6469.892,15161.152,-573.348
6975.512,14944.1,-642.644
7514.916,14684.912,-717.296
8794.752,13956.8,-879.732
9570.22,13455.488,-972.108
10355.48,12903.12,-1076.512
10918.548,12438.356,-1155.524
11459.084,11925.098,-1212.436
11847.62,11519.012,-1269.796
12292.444,11043.924,-1325.44
13150.408,9992.088,-1436.38
12539.252,10773.172,-1146.024
12855.1,10393.992,-1210.932
13513.68,9573.652,-68.62
13983.728,8943.248,-225.992
14475.508,8080.336,-299.952
14935.288,7205.956,-346.316
15676.648,5389.32,-417.816
16156.296,3743.556,-429.388
16402.444,2509.408,-499.236
16530.48,1412.828,-613.476
16583.308,299.872,-608.492
16619.368,348.808,-704.592
16621.316,-146.254,-727.352
16564.692,-782.152,-742.9
16528.188,-1331.104,-774.828
16485.0,-1782.516,-775.492
16411.208,-2319.108,-838.108
16270.316,-3129.808,-868.452
16126.128,-3793.776,-909.356
15991.656,-4334.528,-710.072
15763.856,-5109.932,-313.756
15551.336,-5723.22,-298.072
15471.432,-6019.028,-491.712
15199.84,-6564.896,-601.028
14697.256,-7561.464,-1016.408
14474.048,-8010.0,-720.3
14134.636,-8581.644,-725.82
13711.236,-9218.704,-864.812
13539.316,-9524.164,-832.528
13297.088,-9829.38,-884.824
12766.816,-10445.74,-1033.288
12174.904,-11174.66,-828.424
11615.032,-11688.936,-665.484
11079.544,-12207.76,-754.508
10431.888,-12746.312,-836.972
9696.164,-13298.228,-903.028
9354.804,-13533.48,-949.468
8708.632,-13981.704,-970.7
8060.62,-14313.528,-1061.828
7106.564,-14793.784,-1172.444
6377.568,-15144.932,-1159.932
5786.524,-15338.012,-1134.7
5262.784,-15520.696,-1095.104
4314.228,-15797.528,-1075.684
3803.652,-15929.12,-1038.12
3290.444,-16036.88,-1008.044
2742.8,-16167.764,-989.724
2027.62,-16231.448,-956.308
1231.888,-16307.744,-795.048
834.68,-16299.836,-758.388
412.564,-16312.872,-689.264
150.4,-16351.316,-530.32
-1.868,-16349.016,-640.172
-316.404,-16333.356,-826.048
-671.2,-16316.788,-850.564
-1148.916,-16284.464,-839.552
-1765.976,-16224.576,-852.1
-2235.9,-16161.888,-811.664
-2540.232,-16144.156,-803.716
-3092.844,-16014.876,-787.644
-3501.036,-15923.976,-779.684
-3953.14,-15812.404,-762.908
-4125.144,-15770.276,-666.142
-4209.872,-15750.712,-564.14
-4799.0,-15573.412,-443.916
-5829.86,-15198.344,-696.464
-6693.832,-14829.504,-704.104
-7252.004,-14566.524,-589.04
-8041.464,-14134.836,-631.94
-8632.204,-13781.912,-570.032
-9511.948,-13175.068,-575.004
-10176.696,-12665.432,-354.212
-10894.088,-12046.424,-79.712
-11389.604,-11578.868,-281.748
-11888.256,-11059.696,-97.16
-12402.924,-10440.624,-31.36
-12853.936,-9946.008,325.856
-13258.912,-9356.86,-116.268
-13665.168,-8749.024,-182.988
-14026.224,-8106.332,-4.172
-14448.756,-7362.532,36.652
-14538.784,-7260.368,48.716
-14658.804,-6940.732,95.932
-14840.852,-6619.66,-105.692
-15392.028,-5043.936,213.02
-15708.864,-3964.536,316.044
-15900.784,-3102.02,354.884
-16043.444,-2203.976,536.852
-16132.754,-1304.5,729.724
-16147.9,-696.52,596.56
-16195.132,-423.872,535.38
-16196.498,-161.676,599.292
-16231.404,140.96,617.072
-15788.872,3569.896,457.924
-11434.948,11072.036,919.604
-6413.308,14875.912,596.284
-3627.772,15898.5,584.084
-6001.796,15141.716,583.988
-10651.304,12137.8,547.292
-12111.092,10857.688,645.418
-12859.72,9923.48,568.008
